Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_20_113,VPWR,li1,58.8800,68.0000,1.800000
FILLER_20_111,VPWR,li1,56.8100,68.0000,1.800000
FILLER_20_105,VPWR,li1,55.2000,68.0000,1.800000
FILLER_20_98,VPWR,li1,51.2900,68.0000,1.800000
FILLER_20_93,VPWR,li1,48.5300,68.0000,1.800000
FILLER_20_85,VPWR,li1,46.4600,68.0000,1.800000
FILLER_20_83,VPWR,li1,43.9300,68.0000,1.800000
FILLER_20_77,VPWR,li1,42.3200,68.0000,1.800000
FILLER_20_69,VPWR,li1,38.1800,68.0000,1.800000
FILLER_20_57,VPWR,li1,34.5000,68.0000,1.800000
FILLER_20_55,VPWR,li1,31.0500,68.0000,1.800000
FILLER_20_49,VPWR,li1,29.4400,68.0000,1.800000
FILLER_20_41,VPWR,li1,25.3000,68.0000,1.800000
FILLER_20_29,VPWR,li1,21.6200,68.0000,1.800000
FILLER_20_27,VPWR,li1,18.1700,68.0000,1.800000
FILLER_20_15,VPWR,li1,15.1800,68.0000,1.800000
FILLER_20_3,VPWR,li1,9.6600,68.0000,1.800000
FILLER_19_113,VPWR,li1,58.8800,62.5600,1.799993
FILLER_19_111,VPWR,li1,56.8100,62.5600,1.799993
FILLER_19_99,VPWR,li1,53.8200,62.5600,1.799993
FILLER_19_89,VPWR,li1,47.1500,62.5600,1.799993
FILLER_19_80,VPWR,li1,42.5500,62.5600,1.799993
FILLER_19_69,VPWR,li1,39.1000,62.5600,1.799993
FILLER_19_57,VPWR,li1,34.5000,62.5600,1.799994
FILLER_19_55,VPWR,li1,31.0500,62.5600,1.799995
FILLER_19_51,VPWR,li1,29.9000,62.5600,1.799995
FILLER_19_39,VPWR,li1,26.2200,62.5600,1.799996
FILLER_19_27,VPWR,li1,20.7000,62.5600,1.799997
FILLER_19_15,VPWR,li1,15.1800,62.5600,1.799997
FILLER_19_3,VPWR,li1,9.6600,62.5600,1.799997
FILLER_18_120,VPWR,li1,61.1800,62.5600,1.799993
FILLER_18_96,VPWR,li1,50.3700,62.5600,1.799993
FILLER_18_62,VPWR,li1,34.5000,62.5600,1.799994
FILLER_18_50,VPWR,li1,31.2800,62.5600,1.799995
FILLER_18_38,VPWR,li1,25.7600,62.5600,1.799996
FILLER_18_27,VPWR,li1,18.1700,62.5600,1.799997
FILLER_18_15,VPWR,li1,15.1800,62.5600,1.799997
FILLER_18_3,VPWR,li1,9.6600,62.5600,1.799997
FILLER_17_121,VPWR,li1,61.4100,57.1200,1.799963
FILLER_17_110,VPWR,li1,56.5800,57.1200,1.799963
FILLER_17_63,VPWR,li1,34.7300,57.1200,1.799974
FILLER_17_57,VPWR,li1,33.1200,57.1200,1.799974
FILLER_17_55,VPWR,li1,31.0500,57.1200,1.799976
FILLER_17_11,VPWR,li1,10.8100,57.1200,1.799984
FILLER_17_7,VPWR,li1,9.6600,57.1200,1.799984
FILLER_16_119,VPWR,li1,60.9500,57.1200,1.799963
FILLER_16_112,VPWR,li1,57.2700,57.1200,1.799963
FILLER_16_85,VPWR,li1,44.8500,57.1200,1.799966
FILLER_16_29,VPWR,li1,19.5500,57.1200,1.799985
FILLER_16_15,VPWR,li1,13.8000,57.1200,1.799984
FILLER_16_3,VPWR,li1,9.6600,57.1200,1.799984
FILLER_15_117,VPWR,li1,59.5700,51.6800,1.799964
FILLER_15_113,VPWR,li1,58.4200,51.6800,1.799964
FILLER_15_110,VPWR,li1,56.5800,51.6800,1.799964
FILLER_15_102,VPWR,li1,54.2800,51.6800,1.799964
FILLER_15_81,VPWR,li1,43.0100,51.6800,1.799966
FILLER_15_73,VPWR,li1,39.5600,51.6800,1.799967
FILLER_15_57,VPWR,li1,31.9700,51.6800,1.799969
FILLER_15_54,VPWR,li1,30.8200,51.6800,1.799969
FILLER_15_25,VPWR,li1,17.4800,51.6800,1.799976
FILLER_15_3,VPWR,li1,7.3600,51.6800,1.799975
FILLER_14_119,VPWR,li1,60.9500,51.6800,1.799964
FILLER_14_111,VPWR,li1,57.0400,51.6800,1.799964
FILLER_14_91,VPWR,li1,47.8400,51.6800,1.799965
FILLER_14_82,VPWR,li1,43.7000,51.6800,1.799966
FILLER_14_40,VPWR,li1,24.1500,51.6800,1.799973
FILLER_14_11,VPWR,li1,10.8100,51.6800,1.799975
FILLER_13_121,VPWR,li1,61.4100,46.2400,1.799962
FILLER_13_85,VPWR,li1,44.8500,46.2400,1.799965
FILLER_13_3,VPWR,li1,7.3600,46.2400,1.799983
FILLER_12_91,VPWR,li1,47.6100,46.2400,1.799964
FILLER_12_85,VPWR,li1,46.0000,46.2400,1.799965
FILLER_12_83,VPWR,li1,43.9300,46.2400,1.799966
FILLER_12_59,VPWR,li1,32.8900,46.2400,1.799974
FILLER_12_29,VPWR,li1,19.3200,46.2400,1.799985
FILLER_12_7,VPWR,li1,8.9700,46.2400,1.799983
FILLER_11_113,VPWR,li1,57.7300,40.8000,1.799944
FILLER_11_108,VPWR,li1,55.4300,40.8000,1.799944
FILLER_11_88,VPWR,li1,47.3800,40.8000,1.799945
FILLER_11_77,VPWR,li1,41.4000,40.8000,1.799947
FILLER_11_57,VPWR,li1,33.1200,40.8000,1.799954
FILLER_11_28,VPWR,li1,18.6300,40.8000,1.799976
FILLER_11_24,VPWR,li1,17.4800,40.8000,1.799976
FILLER_11_3,VPWR,li1,7.1300,40.8000,1.799975
FILLER_10_92,VPWR,li1,49.2200,40.8000,1.799945
FILLER_10_82,VPWR,li1,43.7000,40.8000,1.799946
FILLER_10_51,VPWR,li1,29.2100,40.8000,1.799961
FILLER_10_47,VPWR,li1,28.0600,40.8000,1.799961
FILLER_10_40,VPWR,li1,24.8400,40.8000,1.799968
FILLER_10_27,VPWR,li1,18.1700,40.8000,1.799976
FILLER_10_23,VPWR,li1,17.0200,40.8000,1.799976
FILLER_10_11,VPWR,li1,13.3400,40.8000,1.799975
FILLER_9_102,VPWR,li1,53.1300,35.3600,1.799981
FILLER_9_94,VPWR,li1,50.6000,35.3600,1.799981
FILLER_9_57,VPWR,li1,33.1200,35.3600,1.799984
FILLER_9_52,VPWR,li1,29.6700,35.3600,1.799984
FILLER_9_13,VPWR,li1,11.7300,35.3600,1.799987
FILLER_9_7,VPWR,li1,10.1200,35.3600,1.799987
FILLER_8_85,VPWR,li1,46.0000,35.3600,1.799981
FILLER_8_82,VPWR,li1,43.7000,35.3600,1.799981
FILLER_8_75,VPWR,li1,40.2500,35.3600,1.799981
FILLER_8_64,VPWR,li1,35.6500,35.3600,1.799983
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.799989
FILLER_8_3,VPWR,li1,7.1300,35.3600,1.799987
FILLER_7_113,VPWR,li1,57.7300,29.9200,1.799947
FILLER_7_91,VPWR,li1,47.6100,29.9200,1.799949
FILLER_7_68,VPWR,li1,37.4900,29.9200,1.799955
FILLER_7_60,VPWR,li1,34.9600,29.9200,1.799957
FILLER_7_26,VPWR,li1,18.1700,29.9200,1.799974
FILLER_7_7,VPWR,li1,9.2000,29.9200,1.799974
FILLER_6_121,VPWR,li1,61.4100,29.9200,1.799947
FILLER_6_88,VPWR,li1,46.4600,29.9200,1.799949
FILLER_6_82,VPWR,li1,43.7000,29.9200,1.799951
FILLER_6_74,VPWR,li1,41.4000,29.9200,1.799952
FILLER_6_49,VPWR,li1,29.9000,29.9200,1.799960
FILLER_6_7,VPWR,li1,10.1200,29.9200,1.799974
FILLER_5_113,VPWR,li1,57.9600,24.4800,1.799919
FILLER_5_110,VPWR,li1,56.5800,24.4800,1.799919
FILLER_5_102,VPWR,li1,54.2800,24.4800,1.799919
FILLER_5_80,VPWR,li1,42.7800,24.4800,1.799930
FILLER_5_46,VPWR,li1,27.1400,24.4800,1.799959
FILLER_5_3,VPWR,li1,7.5900,24.4800,1.799968
FILLER_4_119,VPWR,li1,60.9500,24.4800,1.799919
FILLER_4_111,VPWR,li1,58.4200,24.4800,1.799919
FILLER_4_73,VPWR,li1,39.5600,24.4800,1.799933
