Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_20_113,VGND,li1,58.8800,65.2800,0.000000
FILLER_20_111,VGND,li1,56.8100,65.2800,0.000000
FILLER_20_105,VGND,li1,55.2000,65.2800,0.000000
FILLER_20_98,VGND,li1,51.2900,65.2800,0.000000
FILLER_20_93,VGND,li1,48.5300,65.2800,0.000000
FILLER_20_85,VGND,li1,46.4600,65.2800,0.000000
FILLER_20_83,VGND,li1,43.9300,65.2800,0.000000
FILLER_20_77,VGND,li1,42.3200,65.2800,0.000000
FILLER_20_69,VGND,li1,38.1800,65.2800,0.000000
FILLER_20_57,VGND,li1,34.5000,65.2800,0.000000
FILLER_20_55,VGND,li1,31.0500,65.2800,0.000000
FILLER_20_49,VGND,li1,29.4400,65.2800,0.000000
FILLER_20_41,VGND,li1,25.3000,65.2800,0.000000
FILLER_20_29,VGND,li1,21.6200,65.2800,0.000000
FILLER_20_27,VGND,li1,18.1700,65.2800,0.000000
FILLER_20_15,VGND,li1,15.1800,65.2800,0.000000
FILLER_20_3,VGND,li1,9.6600,65.2800,0.000000
FILLER_19_113,VGND,li1,58.8800,65.2800,0.000000
FILLER_19_111,VGND,li1,56.8100,65.2800,0.000000
FILLER_19_99,VGND,li1,53.8200,65.2800,0.000000
FILLER_19_89,VGND,li1,47.1500,65.2800,0.000000
FILLER_19_80,VGND,li1,42.5500,65.2800,0.000000
FILLER_19_69,VGND,li1,39.1000,65.2800,0.000000
FILLER_19_57,VGND,li1,34.5000,65.2800,0.000000
FILLER_19_55,VGND,li1,31.0500,65.2800,0.000000
FILLER_19_51,VGND,li1,29.9000,65.2800,0.000000
FILLER_19_39,VGND,li1,26.2200,65.2800,0.000000
FILLER_19_27,VGND,li1,20.7000,65.2800,0.000000
FILLER_19_15,VGND,li1,15.1800,65.2800,0.000000
FILLER_19_3,VGND,li1,9.6600,65.2800,0.000000
FILLER_18_120,VGND,li1,61.1800,59.8400,0.000026
FILLER_18_96,VGND,li1,50.3700,59.8400,0.000025
FILLER_18_62,VGND,li1,34.5000,59.8400,0.000018
FILLER_18_50,VGND,li1,31.2800,59.8400,0.000016
